request_row_id,title,content
53C631FEA280DCA87A343726A8BC9CFD126DE9C8B12943EF0E39E3D4783DFCAC,关于小学减负政策落实与教师态度的反映,"领导您好,我是一名小学生的家长。孩子就读于本地一所公办重点小学,目前正值暑假,书面作业情况暂时符合规定,但我心里始终不踏实。从周边家长以往反映的情况看,类似学校普遍存在开学后作业量猛增的问题,经常通过班级群布置额外练习,要求孩子抄写,甚至课堂作业也要带回家完成,孩子写到深夜是常事。我们家长文化程度不高,辅导起来很吃力,经济上虽然能帮孩子报班,但更希望学校真正落实减负要求。另外,有家长私下说部分教师对家长态度蛮横,训斥家长像训学生,大家敢怒不敢言。希望领导能督促学校严格规范作业管理,畅通家校沟通渠道,让减负政策真正落地,让孩子能有充足睡眠和正常成长空间。"
45232621DFE50A5C0CBA05EAB6F918CFCBEA89F04BB51516826C719EBA63C39C,"希望开学后能真正落实作业减负,别让家长成了“助教”","领导好,我家孩子上小学,学校是重点学校。以前听别的家长说作业特别多,经常写到很晚,还要家长在微信群里看作业、抄题,我们两口子文化程度不高,很多题辅导不了,心里着急。现在听说上面有新规定,要控制作业总量、提高质量,还要有课后服务,我们很高兴。但现在是暑假,还没看到开学后的情况,就怕开学后学校还是老样子,作业照样多,老师还是把任务推到家长头上。希望领导能督促学校真正把新要求落实到位,特别是低年级不布置书面家庭作业,课后服务能让孩子在学校把作业完成,别把负担转给家长。我们也愿意配合学校,但希望是合理配合,不是天天当“助教”。"
BE7E2E89834C879B8F6DABE207FB52B367D0DF1C3996CA4EDE281E01937A3BF4,关于新学期防止小学家庭作业负担反弹的建议,"领导您好。我家孩子在本市一所公办小学读低年级,按年级规定是不布置书面家庭作业的。这个寒假和开学过渡期,孩子作业量看着还符合要求,也参加了学校课后服务。但我和身边一些家长还是担心,开学后作业负担会不会反弹。以前听别的家长说过,有些学校课后服务只是看管,书面作业还是带回家,甚至课堂作业也让家长盯着补,微信群天天发练习,老人根本弄不了。我们希望教育部门能持续监督学校,尤其是那些重点示范小学,别因为抓成绩就变相增加作业,让课后服务真正把作业辅导解决在校内,别把负担转嫁给家长。"
B9BFAAA46E40617A7E33D22DD728DFAC13F2260CD0C5CA0485F5ED9C0F04C7FB,关于课后服务内容与作业管理的建议,"领导您好。我家孩子在公办小学读书,目前学校提供课后服务,孩子也参加了。我们家长文化程度不高,辅导作业比较吃力,希望学校能利用课后服务时间加强作业指导,让孩子尽量在学校完成作业,回家后能早点休息。同时也担心课后服务变成变相集体补课或只安排写作业,孩子压力反而增加。另外,现在这个年级原则上不布置书面家庭作业,但周边一些学校以前有过作业多、老师让学生统一口径的情况,我们担心政策落实不持久。希望领导督促学校把课后服务做实,多安排体育、艺术、阅读等活动,真正减轻孩子和家长的负担。"
2E4A73B33D7BE8C359A2F06C2F01074F3BE0C985A1E2CC109E4145A2932830CA,关于小学课后服务落实与作业负担问题的建议,"领导您好,我是西部城镇一名小学生家长。孩子现在上小学,本月学校课后服务也参加了,书面作业情况基本符合当前年级的规定,这让我们松了一口气。但结合身边其他学校的情况和以前的经验,我们仍然很担心:有的学校平时作业布置得很多,孩子写到晚上十一二点,临近考试更严重,老师还要求家长在微信里看作业、抄题,我们文化程度不高,老人也不懂微信,辅导起来非常吃力。希望领导能持续关注小学课后服务的实际质量,督促学校严格落实减负要求,课后服务不要变成变相补课或增加作业,同时加强对教师作业管理和师德方面的监督,避免出现课堂作业带回家做、用微信群布置大量练习等情况,真正减轻孩子和家长负担。"
888A3EE354F348771898644D079400E867B06A03AF09775CDC9B00A6394CCB7E,希望加强学校课后服务的学习辅导内容,"领导您好,我家孩子在城镇一所公办小学读书,这个暑假参加了学校课后服务。我们家长文化程度不高,孩子现在书面作业很少,我们想辅导也不知道从哪下手。听说现在外面补习班少了很多,我们也不敢随便找。希望学校课后服务不只是看着孩子,能安排一些老师带着复习预习、培养学习习惯,或者开展一些兴趣活动,让我们家长放心。以前总听说有的学校作业多到孩子写到很晚,现在作业少了是好事,但我们也怕孩子光玩把基础落下了。请领导帮忙督促学校把课后服务的内容丰富起来,真正解决我们这种家长辅导不了的困难。"
3DBD63D7EA77AB9EF3D7327820BAD9B928B2A7DC9CD40D05D752F85ED0FF60E9,关于小学课后服务落实与作业负担问题的建议,"领导您好,我是西部城镇一名小学生家长。孩子现在上小学,本月学校课后服务也参加了,书面作业情况基本符合当前年级的规定,这让我们松了一口气。但结合身边其他学校的情况和以前的经验,我们仍然很担心:有的学校平时作业布置得很多,孩子写到晚上十一二点,临近考试更严重,老师还要求家长在微信里看作业、抄题,我们文化程度不高,老人也不懂微信,辅导起来非常吃力。希望领导能持续关注小学课后服务的实际质量,督促学校严格落实减负要求,课后服务不要变成变相补课或增加作业,同时加强对教师作业管理和师德方面的监督,避免出现课堂作业带回家做、用微信群布置大量练习等情况,真正减轻孩子和家长负担。"
B2D1E7D990F8FBB17D726F012BFFC230577E6EC9D29FFB1BF61ACF2907205431,希望课后服务别变相增加作业负担,"领导好,孩子这个月在学校参加课后服务,说每天有两个小时。我们家长文化程度不高,家里虽然条件还可以,但最怕这两个小时变成上课、补课或者又布置作业。以前常听说有班级在群里发练习题,孩子作业写到很晚,我们不想暑假也这样。希望上级能督促学校把课后服务真正做成自愿、多样,有老师指导写好作业,不要变相增加书面作业和考试压力,也别把辅导责任又推给家长。"
2BCB84547346931935A68D4DD0A8F4189857C293118EF91871CAE2B94FCD3BF3,关于小学课后服务落实与作业负担问题的建议,"领导您好,我是西部城镇一名小学生家长。孩子现在上小学,本月学校课后服务也参加了,书面作业情况基本符合当前年级的规定,这让我们松了一口气。但结合身边其他学校的情况和以前的经验,我们仍然很担心:有的学校平时作业布置得很多,孩子写到晚上十一二点,临近考试更严重,老师还要求家长在微信里看作业、抄题,我们文化程度不高,老人也不懂微信,辅导起来非常吃力。希望领导能持续关注小学课后服务的实际质量,督促学校严格落实减负要求,课后服务不要变成变相补课或增加作业,同时加强对教师作业管理和师德方面的监督,避免出现课堂作业带回家做、用微信群布置大量练习等情况,真正减轻孩子和家长负担。"
FEA5AA051E5E4DD26F3D236C82D104903AF13309C28C81F7FD856DCD46EF9A31,希望领导监督学校课后服务和作业减负落实,"领导您好,我家孩子在咱们这里一所公办小学读低年级,按政策这个年级不布置书面家庭作业,现在放暑假学校有课后服务,孩子也参加了。但我们家长文化不高,听说以前有的学校老师布置很多作业,孩子写到半夜,上面来检查的时候老师还教孩子说假话。我们就担心开学以后老师又偷偷加作业,或者把课后服务时间用来上课、考试,孩子回家照样写到很晚。希望领导督促学校真正落实减负,让课后服务多开展一些活动,帮孩子在学校完成作业,别让家长天天跟着焦虑。谢谢。"
